"Schefflera_morototoni" "Aegiphila_sellowiana" "Lantana_camara" "Citharexylum_myrianthum" "Cordia_curassavica" "Tabernaemontana_donnell-smithii" "Solanum_viscosissimum" "Gaylussacia_virgata" "Myrsine_gardneriana" "Myrsine_coriacea" "Myrsine_umbellata" "Guapira_opposita" "Psittacanthus_robustus" "Struthanthus_flexicaulis" "Copaifera_langsdorffii" "Ficus_luschnathiana" "Ficus_insipida" "Cecropia_glaziovii" "Coussapoa_microcarpa" "Trema_micrantha" "Clusia_criuva" "Clusia_hilariana" "Casearia_decandra" "Casearia_sylvestris" "Erythroxylum_ambiguum" "Alchornea_triplinervia" "Pera_glabrata" "Humiria_balsamifera" "Sloanea_guianensis" "Cabralea_canjerana" "Guarea_macrophylla" "Trichilia_martiana" "Paullinia_carpopoda" "Matayba_elaeagnoides" "Cupania_oblongifolia" "Cupania_vernalis" "Protium_spruceanum" "Protium_heptaphyllum" "Schinus_terebinthifolia" "Tapirira_guianensis" "Miconia_theaezans" "Miconia_pepericarpa" "Miconia_budlejoides" "Miconia_prasina" "Miconia_pusilliflora" "Miconia_cuspidata" "Eugenia_umbelliflora" "Eugenia_uniflora" "Myrceugenia_myrcioides" "Psidium_guajava" "Xylopia_aromatica" "Guatteria_sellowiana" "Cymbopetalum_baillonii" "Magnolia_ovata" "Virola_sebifera" "Ocotea_pulchella" "Nectandra_megapotamica" "Cinnamomum_triplinerve" "Persea_pyrifolia" "Piper_tectoniifolium"
"Myrsine_umbellata" 224.681458 224.681457 224.681458 224.681457 224.681458 224.681458 224.681457 189.766586 11.1533870000001 11.1533870000001 0 239.748468 242.76933 242.769329 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Guapira_opposita" 239.748468 239.748467 239.748468 239.748467 239.748468 239.748468 239.748467 239.748468 239.748467 239.748467 239.748468 0 242.76933 242.769329 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Psittacanthus_robustus" 242.76933 242.769329 242.76933 242.769329 242.76933 242.76933 242.769329 242.76933 242.769329 242.769329 242.76933 242.76933 0 52.106061 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Struthanthus_flexicaulis" 242.769329 242.769328 242.769329 242.769328 242.769329 242.769329 242.769328 242.769329 242.769328 242.769328 242.769329 242.769329 52.106061 0 247.468472 247.468473 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468472 247.468472 247.468473 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Copaifera_langsdorffii" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 0 225.402391 225.402391 225.40239 225.40239 225.402391 231.571129 231.571129 231.571128 231.571129 231.571128 231.571128 231.571129 231.571129 231.571129 237.157207 237.157207 237.157207 237.157206 237.157206 237.157206 237.157207 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Ficus_luschnathiana" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 225.402391 0 23.844852 137.024899 137.024899 146.93827 231.57113 231.57113 231.571129 231.57113 231.571129 231.571129 231.57113 231.57113 231.57113 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Ficus_insipida" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 225.402391 23.844852 0 137.024899 137.024899 146.93827 231.57113 231.57113 231.571129 231.57113 231.571129 231.571129 231.57113 231.57113 231.57113 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Cecropia_glaziovii" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 225.40239 137.024899 137.024899 0 40.8803800000002 146.938269 231.571129 231.571129 231.571128 231.571129 231.571128 231.571128 231.571129 231.571129 231.571129 237.157207 237.157207 237.157207 237.157206 237.157206 237.157206 237.157207 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Coussapoa_microcarpa" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 225.40239 137.024899 137.024899 40.8803800000002 0 146.938269 231.571129 231.571129 231.571128 231.571129 231.571128 231.571128 231.571129 231.571129 231.571129 237.157207 237.157207 237.157207 237.157206 237.157206 237.157206 237.157207 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Trema_micrantha" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 225.402391 146.93827 146.93827 146.938269 146.938269 0 231.57113 231.57113 231.571129 231.57113 231.571129 231.571129 231.57113 231.57113 231.57113 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
