"Schefflera_morototoni" "Aegiphila_sellowiana" "Lantana_camara" "Citharexylum_myrianthum" "Cordia_curassavica" "Tabernaemontana_donnell-smithii" "Solanum_viscosissimum" "Gaylussacia_virgata" "Myrsine_gardneriana" "Myrsine_coriacea" "Myrsine_umbellata" "Guapira_opposita" "Psittacanthus_robustus" "Struthanthus_flexicaulis" "Copaifera_langsdorffii" "Ficus_luschnathiana" "Ficus_insipida" "Cecropia_glaziovii" "Coussapoa_microcarpa" "Trema_micrantha" "Clusia_criuva" "Clusia_hilariana" "Casearia_decandra" "Casearia_sylvestris" "Erythroxylum_ambiguum" "Alchornea_triplinervia" "Pera_glabrata" "Humiria_balsamifera" "Sloanea_guianensis" "Cabralea_canjerana" "Guarea_macrophylla" "Trichilia_martiana" "Paullinia_carpopoda" "Matayba_elaeagnoides" "Cupania_oblongifolia" "Cupania_vernalis" "Protium_spruceanum" "Protium_heptaphyllum" "Schinus_terebinthifolia" "Tapirira_guianensis" "Miconia_theaezans" "Miconia_pepericarpa" "Miconia_budlejoides" "Miconia_prasina" "Miconia_pusilliflora" "Miconia_cuspidata" "Eugenia_umbelliflora" "Eugenia_uniflora" "Myrceugenia_myrcioides" "Psidium_guajava" "Xylopia_aromatica" "Guatteria_sellowiana" "Cymbopetalum_baillonii" "Magnolia_ovata" "Virola_sebifera" "Ocotea_pulchella" "Nectandra_megapotamica" "Cinnamomum_triplinerve" "Persea_pyrifolia" "Piper_tectoniifolium"
"Protium_heptaphyllum" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 159.836682 159.836682 159.836682 159.836681 159.836681 159.836681 159.836682 15.5675270000001 0 103.118348 103.118348 233.986391 233.986392 233.986392 233.986392 233.986392 233.986392 233.986391 233.986392 233.986392 233.986392 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Schinus_terebinthifolia" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 159.836682 159.836682 159.836682 159.836681 159.836681 159.836681 159.836682 103.118347 103.118348 0 86.706864 233.986391 233.986392 233.986392 233.986392 233.986392 233.986392 233.986391 233.986392 233.986392 233.986392 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Tapirira_guianensis" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 159.836682 159.836682 159.836682 159.836681 159.836681 159.836681 159.836682 103.118347 103.118348 86.706864 0 233.986391 233.986392 233.986392 233.986392 233.986392 233.986392 233.986391 233.986392 233.986392 233.986392 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Miconia_theaezans" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 237.157206 237.157207 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 233.986391 233.986391 233.986391 233.98639 233.98639 233.98639 233.986391 233.98639 233.986391 233.986391 233.986391 0 14.3834950000001 14.3834950000001 14.3834950000001 14.3834950000001 14.8580350000001 184.528796 184.528797 184.528797 184.528797 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Miconia_pepericarpa" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 14.3834950000001 0 2.62312 14.383496 14.383496 14.858036 184.528797 184.528798 184.528798 184.528798 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Miconia_budlejoides" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 14.3834950000001 2.62312 0 14.383496 14.383496 14.858036 184.528797 184.528798 184.528798 184.528798 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Miconia_prasina" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 14.3834950000001 14.383496 14.383496 0 10.172208 14.858036 184.528797 184.528798 184.528798 184.528798 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Miconia_pusilliflora" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 14.3834950000001 14.383496 14.383496 10.172208 0 14.858036 184.528797 184.528798 184.528798 184.528798 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Miconia_cuspidata" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 14.8580350000001 14.858036 14.858036 14.858036 14.858036 0 184.528797 184.528798 184.528798 184.528798 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Eugenia_umbelliflora" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 237.157206 237.157207 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 233.986391 233.986391 233.986391 233.98639 233.98639 233.98639 233.986391 233.98639 233.986391 233.986391 233.986391 184.528796 184.528797 184.528797 184.528797 184.528797 184.528797 0 47.5048790000001 54.8142610000001 56.3657250000001 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Eugenia_uniflora" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 184.528797 184.528798 184.528798 184.528798 184.528798 184.528798 47.5048790000001 0 54.814262 56.365726 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Myrceugenia_myrcioides" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 184.528797 184.528798 184.528798 184.528798 184.528798 184.528798 54.8142610000001 54.814262 0 56.365726 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Psidium_guajava" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 233.986392 233.986392 233.986392 233.986391 233.986391 233.986391 233.986392 233.986391 233.986392 233.986392 233.986392 184.528797 184.528798 184.528798 184.528798 184.528798 184.528798 56.3657250000001 56.365726 56.365726 0 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Xylopia_aromatica" 271.824374 271.824373 271.824374 271.824373 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373 271.824374 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 0 95.934074 105.365023 216.760203 219.17688 255.402374 255.402374 255.402373 255.402373 264.787761
"Guatteria_sellowiana" 271.824374 271.824373 271.824374 271.824373 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373 271.824374 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 95.934074 0 105.365023 216.760203 219.17688 255.402374 255.402374 255.402373 255.402373 264.787761
"Cymbopetalum_baillonii" 271.824373 271.824372 271.824373 271.824372 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372 271.824373 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 105.365023 105.365023 0 216.760202 219.176879 255.402373 255.402373 255.402372 255.402372 264.78776
"Magnolia_ovata" 271.824373 271.824372 271.824373 271.824372 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372 271.824373 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 216.760203 216.760203 216.760202 0 219.176879 255.402373 255.402373 255.402372 255.402372 264.78776
"Virola_sebifera" 271.824374 271.824373 271.824374 271.824373 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373 271.824374 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 219.17688 219.17688 219.176879 219.176879 0 255.402374 255.402374 255.402373 255.402373 264.787761
"Ocotea_pulchella" 271.824374 271.824373 271.824374 271.824373 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373 271.824374 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 255.402374 255.402374 255.402373 255.402373 255.402374 0 13.539212 17.5469990000001 50.507163 264.787761
"Nectandra_megapotamica" 271.824374 271.824373 271.824374 271.824373 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373 271.824374 271.824373 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 271.824374 271.824374 271.824373 271.824374 271.824374 271.824374 255.402374 255.402374 255.402373 255.402373 255.402374 13.539212 0 17.5469990000001 50.507163 264.787761
"Cinnamomum_triplinerve" 271.824373 271.824372 271.824373 271.824372 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372 271.824373 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 255.402373 255.402373 255.402372 255.402372 255.402373 17.5469990000001 17.5469990000001 0 50.5071620000001 264.78776
"Persea_pyrifolia" 271.824373 271.824372 271.824373 271.824372 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372 271.824373 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 255.402373 255.402373 255.402372 255.402372 255.402373 50.507163 50.507163 50.5071620000001 0 264.78776
"Piper_tectoniifolium" 271.824373 271.824372 271.824373 271.824372 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372 271.824373 271.824372 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 271.824373 271.824373 271.824372 271.824373 271.824373 271.824373 264.787761 264.787761 264.78776 264.78776 264.787761 264.787761 264.787761 264.78776 264.78776 0
